,theta,k1,k2,x0,x1,e1,e2,j1,j2,v2
0,1,1e-07,1e-07,"tensor(2288.3401, dtype=torch.float64)","tensor(2.0137, dtype=torch.float64)","tensor(0.0001, dtype=torch.float64)","tensor(0.0004, dtype=torch.float64)","tensor(49924.1839, dtype=torch.float64)","tensor(0.0050, dtype=torch.float64)","tensor(0.0008, dtype=torch.float64)"
1,1,1e-07,0.00011119999999999999,"tensor(2290.1353, dtype=torch.float64)","tensor(0.2086, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(0.0240, dtype=torch.float64)","tensor(49473.0879, dtype=torch.float64)","tensor(0.2363, dtype=torch.float64)","tensor(0.0059, dtype=torch.float64)"
2,1,1e-07,0.00022229999999999998,"tensor(2290.1782, dtype=torch.float64)","tensor(0.1654, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(0.0307, dtype=torch.float64)","tensor(49463.8902, dtype=torch.float64)","tensor(0.3006, dtype=torch.float64)","tensor(0.0060, dtype=torch.float64)"
3,1,1e-07,0.00033339999999999997,"tensor(2290.1991, dtype=torch.float64)","tensor(0.1445, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(0.0353, dtype=torch.float64)","tensor(49460.0357, dtype=torch.float64)","tensor(0.3453, dtype=torch.float64)","tensor(0.0060, dtype=torch.float64)"
4,1,1e-07,0.00044449999999999996,"tensor(2290.2123, dtype=torch.float64)","tensor(0.1312, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(0.0390, dtype=torch.float64)","tensor(49457.8199, dtype=torch.float64)","tensor(0.3808, dtype=torch.float64)","tensor(0.0061, dtype=torch.float64)"
5,1,1e-07,0.0005556,"tensor(2290.2216, dtype=torch.float64)","tensor(0.1218, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(0.0421, dtype=torch.float64)","tensor(49456.3479, dtype=torch.float64)","tensor(0.4106, dtype=torch.float64)","tensor(0.0061, dtype=torch.float64)"
6,1,1e-07,0.0006666999999999999,"tensor(2290.2288, dtype=torch.float64)","tensor(0.1146, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(0.0448, dtype=torch.float64)","tensor(49455.2844, dtype=torch.float64)","tensor(0.4366, dtype=torch.float64)","tensor(0.0061, dtype=torch.float64)"
7,1,1e-07,0.0007777999999999998,"tensor(2290.2345, dtype=torch.float64)","tensor(0.1088, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(0.0472, dtype=torch.float64)","tensor(49454.4723, dtype=torch.float64)","tensor(0.4599, dtype=torch.float64)","tensor(0.0061, dtype=torch.float64)"
8,1,1e-07,0.0008888999999999999,"tensor(2290.2392, dtype=torch.float64)","tensor(0.1041, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(0.0494, dtype=torch.float64)","tensor(49453.8275, dtype=torch.float64)","tensor(0.4810, dtype=torch.float64)","tensor(0.0061, dtype=torch.float64)"
9,1,1e-07,0.001,"tensor(2290.2432, dtype=torch.float64)","tensor(0.1001, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(0.0514, dtype=torch.float64)","tensor(49453.3002, dtype=torch.float64)","tensor(0.5004, dtype=torch.float64)","tensor(0.0061, dtype=torch.float64)"
10,1,0.00011119999999999999,1e-07,"tensor(2263.7757, dtype=torch.float64)","tensor(26.6716, dtype=torch.float64)","tensor(0.0008, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(49577.2643, dtype=torch.float64)","tensor(0.0163, dtype=torch.float64)","tensor(0.0045, dtype=torch.float64)"
11,1,0.00011119999999999999,0.00011119999999999999,"tensor(2288.0505, dtype=torch.float64)","tensor(2.3050, dtype=torch.float64)","tensor(0.0913, dtype=torch.float64)","tensor(0.4849, dtype=torch.float64)","tensor(2456.8522, dtype=torch.float64)","tensor(5.5599, dtype=torch.float64)","tensor(1.0899, dtype=torch.float64)"
12,1,0.00011119999999999999,0.00022229999999999998,"tensor(2288.5480, dtype=torch.float64)","tensor(1.8047, dtype=torch.float64)","tensor(0.1353, dtype=torch.float64)","tensor(0.8812, dtype=torch.float64)","tensor(15451.5521, dtype=torch.float64)","tensor(9.8098, dtype=torch.float64)","tensor(1.6166, dtype=torch.float64)"
13,1,0.00011119999999999999,0.00033339999999999997,"tensor(2288.7854, dtype=torch.float64)","tensor(1.5660, dtype=torch.float64)","tensor(0.1669, dtype=torch.float64)","tensor(1.2270, dtype=torch.float64)","tensor(39136.6427, dtype=torch.float64)","tensor(13.4514, dtype=torch.float64)","tensor(1.9936, dtype=torch.float64)"
14,1,0.00011119999999999999,0.00044449999999999996,"tensor(2288.9339, dtype=torch.float64)","tensor(1.4167, dtype=torch.float64)","tensor(0.1916, dtype=torch.float64)","tensor(1.5371, dtype=torch.float64)","tensor(66073.1101, dtype=torch.float64)","tensor(16.6825, dtype=torch.float64)","tensor(2.2889, dtype=torch.float64)"
15,1,0.00011119999999999999,0.0005556,"tensor(2289.0389, dtype=torch.float64)","tensor(1.3111, dtype=torch.float64)","tensor(0.2119, dtype=torch.float64)","tensor(1.8199, dtype=torch.float64)","tensor(93703.6608, dtype=torch.float64)","tensor(19.6073, dtype=torch.float64)","tensor(2.5314, dtype=torch.float64)"
16,1,0.00011119999999999999,0.0006666999999999999,"tensor(2289.1187, dtype=torch.float64)","tensor(1.2309, dtype=torch.float64)","tensor(0.2291, dtype=torch.float64)","tensor(2.0808, dtype=torch.float64)","tensor(120971.0575, dtype=torch.float64)","tensor(22.2910, dtype=torch.float64)","tensor(2.7366, dtype=torch.float64)"
17,1,0.00011119999999999999,0.0007777999999999998,"tensor(2289.1822, dtype=torch.float64)","tensor(1.1670, dtype=torch.float64)","tensor(0.2439, dtype=torch.float64)","tensor(2.3237, dtype=torch.float64)","tensor(147411.5187, dtype=torch.float64)","tensor(24.7781, dtype=torch.float64)","tensor(2.9141, dtype=torch.float64)"
18,1,0.00011119999999999999,0.0008888999999999999,"tensor(2289.2344, dtype=torch.float64)","tensor(1.1145, dtype=torch.float64)","tensor(0.2570, dtype=torch.float64)","tensor(2.5513, dtype=torch.float64)","tensor(172828.6508, dtype=torch.float64)","tensor(27.1008, dtype=torch.float64)","tensor(3.0699, dtype=torch.float64)"
19,1,0.00011119999999999999,0.001,"tensor(2289.2785, dtype=torch.float64)","tensor(1.0702, dtype=torch.float64)","tensor(0.2686, dtype=torch.float64)","tensor(2.7659, dtype=torch.float64)","tensor(197155.7269, dtype=torch.float64)","tensor(29.2834, dtype=torch.float64)","tensor(3.2085, dtype=torch.float64)"
20,1,0.00022229999999999998,1e-07,"tensor(2255.8755, dtype=torch.float64)","tensor(34.5987, dtype=torch.float64)","tensor(0.0010, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(49550.7356, dtype=torch.float64)","tensor(0.0195, dtype=torch.float64)","tensor(0.0048, dtype=torch.float64)"
21,1,0.00022229999999999998,0.00011119999999999999,"tensor(2287.4052, dtype=torch.float64)","tensor(2.9538, dtype=torch.float64)","tensor(0.1184, dtype=torch.float64)","tensor(0.5169, dtype=torch.float64)","tensor(7680.1411, dtype=torch.float64)","tensor(6.1312, dtype=torch.float64)","tensor(1.4144, dtype=torch.float64)"
22,1,0.00022229999999999998,0.00022229999999999998,"tensor(2288.0503, dtype=torch.float64)","tensor(2.3052, dtype=torch.float64)","tensor(0.1824, dtype=torch.float64)","tensor(0.9693, dtype=torch.float64)","tensor(55187.1730, dtype=torch.float64)","tensor(11.1148, dtype=torch.float64)","tensor(2.1790, dtype=torch.float64)"
23,1,0.00022229999999999998,0.00033339999999999997,"tensor(2288.3569, dtype=torch.float64)","tensor(1.9969, dtype=torch.float64)","tensor(0.2309, dtype=torch.float64)","tensor(1.3810, dtype=torch.float64)","tensor(124084.4713, dtype=torch.float64)","tensor(15.5559, dtype=torch.float64)","tensor(2.7585, dtype=torch.float64)"
24,1,0.00022229999999999998,0.00044449999999999996,"tensor(2288.5481, dtype=torch.float64)","tensor(1.8047, dtype=torch.float64)","tensor(0.2706, dtype=torch.float64)","tensor(1.7619, dtype=torch.float64)","tensor(201490.1543, dtype=torch.float64)","tensor(19.6145, dtype=torch.float64)","tensor(3.2323, dtype=torch.float64)"
25,1,0.00022229999999999998,0.0005556,"tensor(2288.6831, dtype=torch.float64)","tensor(1.6689, dtype=torch.float64)","tensor(0.3043, dtype=torch.float64)","tensor(2.1181, dtype=torch.float64)","tensor(282209.5559, dtype=torch.float64)","tensor(23.3767, dtype=torch.float64)","tensor(3.6351, dtype=torch.float64)"
26,1,0.00022229999999999998,0.0006666999999999999,"tensor(2288.7856, dtype=torch.float64)","tensor(1.5659, dtype=torch.float64)","tensor(0.3337, dtype=torch.float64)","tensor(2.4535, dtype=torch.float64)","tensor(363714.2842, dtype=torch.float64)","tensor(26.8973, dtype=torch.float64)","tensor(3.9861, dtype=torch.float64)"
27,1,0.00022229999999999998,0.0007777999999999998,"tensor(2288.8670, dtype=torch.float64)","tensor(1.4839, dtype=torch.float64)","tensor(0.3597, dtype=torch.float64)","tensor(2.7713, dtype=torch.float64)","tensor(444659.7919, dtype=torch.float64)","tensor(30.2151, dtype=torch.float64)","tensor(4.2972, dtype=torch.float64)"
28,1,0.00022229999999999998,0.0008888999999999999,"tensor(2288.9340, dtype=torch.float64)","tensor(1.4166, dtype=torch.float64)","tensor(0.3831, dtype=torch.float64)","tensor(3.0737, dtype=torch.float64)","tensor(524301.3054, dtype=torch.float64)","tensor(33.3587, dtype=torch.float64)","tensor(4.5765, dtype=torch.float64)"
29,1,0.00022229999999999998,0.001,"tensor(2288.9905, dtype=torch.float64)","tensor(1.3598, dtype=torch.float64)","tensor(0.4043, dtype=torch.float64)","tensor(3.3625, dtype=torch.float64)","tensor(602223.8980, dtype=torch.float64)","tensor(36.3503, dtype=torch.float64)","tensor(4.8298, dtype=torch.float64)"
30,1,0.00033339999999999997,1e-07,"tensor(2250.2389, dtype=torch.float64)","tensor(40.2550, dtype=torch.float64)","tensor(0.0011, dtype=torch.float64)","tensor(0.0005, dtype=torch.float64)","tensor(49537.2450, dtype=torch.float64)","tensor(0.0218, dtype=torch.float64)","tensor(0.0050, dtype=torch.float64)"
31,1,0.00033339999999999997,0.00011119999999999999,"tensor(2286.9403, dtype=torch.float64)","tensor(3.4213, dtype=torch.float64)","tensor(0.1360, dtype=torch.float64)","tensor(0.5308, dtype=torch.float64)","tensor(15765.7128, dtype=torch.float64)","tensor(6.4345, dtype=torch.float64)","tensor(1.6237, dtype=torch.float64)"
32,1,0.00033339999999999997,0.00022229999999999998,"tensor(2287.6935, dtype=torch.float64)","tensor(2.6640, dtype=torch.float64)","tensor(0.2133, dtype=torch.float64)","tensor(1.0095, dtype=torch.float64)","tensor(95807.4661, dtype=torch.float64)","tensor(11.8009, dtype=torch.float64)","tensor(2.5483, dtype=torch.float64)"
